index,event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,gaze_path
1055,activate_star,230795,1146,146,414830921,-,0,1544,227704,qm,1,01TG,qm_log_game_1,16,holiday_home,17,0.0,36.9,1109.85,150.7,219.15,28.09,123.62,58.5,34.5,46.5,58.5,67.91538853603062,1124.5,153.8,16.86,1315.06
1072,activate_star,254294,634,366,414854397,-,0,1743,251203,qm,1,01TG,qm_log_game_1,2,holiday_home,18,0.0,24.0,616.0,347.1,77.24,289.16,183.20000000000002,29.5,67.4,48.45,67.4,73.57316086726192,620.7,335.8,22.62,1320.02
1101,activate_star,8736,979,487,414908227,-,0,1904,298647,qm,1,01TG,qm_log_game_1,11,blast,19,0.0,38.83,941.0,478.6,77.1,38.16,57.629999999999995,52.0,30.5,41.25,52.0,60.28474102125678,960.5,474.2,20.0,818.24
1114,activate_star,22067,1180,373,414921530,-,0,2087,311978,qm,1,01TG,qm_log_game_1,18,blast,20,0.0,29.7,1152.3,364.1,7.7,16.09,11.895,13.0,14.5,13.75,14.5,19.474342094150447,1146.8,359.6,7.98,911.32
1127,activate_star,35408,813,714,414934858,-,0,2357,325319,qm,1,01TG,qm_log_game_1,7,blast,21,0.0,47.79,795.9,668.8,19.44,99.74,59.589999999999996,18.8,48.5,33.65,48.5,52.01624746173065,798.9,675.9,10.41,891.54
1140,activate_star,48895,636,400,414948343,-,0,2614,338806,qm,1,01TG,qm_log_game_1,3,holiday_home,22,0.0,26.84,621.0,422.8,43.18,33.27,38.225,30.1,24.3,27.200000000000003,30.1,38.6846222677694,630.1,411.4,15.35,986.81
1157,activate_star,72589,907,170,414972059,-,0,2893,362500,qm,1,01TG,qm_log_game_1,10,blast,23,0.0,14.31,898.15,177.6,88.52,20.39,54.455,30.8,20.7,25.75,30.8,37.109702235399304,889.55,179.4,9.72,892.59
1170,activate_star,85927,1135,140,414985320,-,0,3094,375838,qm,1,01TG,qm_log_game_1,14,blast,24,0.0,17.17,1141.3,155.7,547.59,16.5,282.045,104.0,17.9,60.95,104.0,105.52919027453967,1149.5,148.0,12.58,1017.4
1184,activate_star,100260,619,929,414999683,-,0,3299,390171,qm,1,01TG,qm_log_game_1,1,blast,25,0.0,16.85,631.95,922.7,19.92,124.0,71.96000000000001,20.1,39.0,29.55,39.0,43.87493589738907,635.2,922.6,5.63,996.51
1197,activate_star,113816,835,917,415013240,-,0,3478,403727,qm,1,01TG,qm_log_game_1,8,holiday_home,26,0.0,12.17,824.75,916.8,34.55,54.29,44.42,25.9,27.3,26.6,27.3,37.631104156003715,817.5,903.5,16.04,940.06
1201,activate_star,123825,1072,855,415023249,-,0,3478,413736,qm,1,01TG,qm_log_game_1,13,holiday_home,27,0.0,34.72,1060.2,823.8,28.81,15.84,22.325,21.3,15.0,18.15,21.3,26.051679408437376,1044.9,830.0,16.56,845.74
1205,activate_star,133835,663,168,415033250,-,0,3478,423746,qm,1,01TG,qm_log_game_1,4,blast,28,0.0,5.05,663.4,164.9,6.35,17.52,11.934999999999999,10.7,16.8,13.75,16.8,19.91808223700264,666.2,172.7,8.5,729.48
1220,activate_star,149165,835,917,415048636,-,0,3645,439076,qm,1,01TG,qm_log_game_1,8,holiday_home,29,0.0,19.07,840.7,907.0,233.57,63.68,148.625,51.8,28.1,39.95,51.8,58.93089172921109,838.0,906.3,18.47,1125.56
1224,activate_star,159173,1072,855,415058607,-,0,3645,449084,qm,1,01TG,qm_log_game_1,13,blast,30,0.0,29.23,1056.1,829.3,30.84,5.84,18.34,23.9,17.1,20.5,23.9,29.387412271242937,1051.6,827.9,6.44,898.7
1237,activate_star,171978,835,917,415071440,-,0,3764,461889,qm,1,01TG,qm_log_game_1,8,blast,31,0.0,22.27,823.9,903.4,161.24,32.22,96.73,43.5,21.7,32.6,43.5,48.61213840184363,822.5,909.5,12.34,1274.02
1254,activate_star,8814,1075,632,415506921,-,0,0,2523,qm,2,01TG,qm_log_game_2,10,holiday_home,1,,,,,,,,,,,,,,,,
1271,activate_star,31584,1344,570,415529642,-,0,370,25293,qm,2,01TG,qm_log_game_2,19,holiday_home,2,0.0,21.7,1339.4,550.4,165.04,14.36,89.69999999999999,72.2,15.4,43.800000000000004,72.2,73.824115301167,1340.8,545.5,8.21,1359.1
1275,activate_star,41591,905,378,415539642,-,0,370,35300,qm,2,01TG,qm_log_game_2,6,blast,3,0.0,8.98,905.4,370.7,52.71,12.56,32.635,23.0,13.9,18.45,23.0,26.873965096353015,913.0,372.3,9.19,991.21
1289,activate_star,55919,1167,143,415553999,-,0,508,49628,qm,2,01TG,qm_log_game_2,12,blast,4,0.0,7.8,1169.6,148.8,10.78,18.35,14.565000000000001,12.4,18.2,15.3,18.2,22.02271554554524,1176.8,150.8,9.34,1019.15
