index,event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,gaze_path
11257,activate_star,357898,841,322,89308010,-,0,1830,352738,qm,1,07TS,qm_log_game_1,3,blast,9,0.0,59.76,894.2,338.6,1338.75,583.58,961.165,160.2,100.4,130.3,160.2,189.06136569907665,893.2,349.9,19.73,1479.94
11297,activate_star,403929,634,347,89354050,-,0,1992,398769,qm,1,07TS,qm_log_game_1,0,holiday_home,10,0.0,89.31,713.6,388.6,61.61,186.77,124.19,29.4,55.8,42.599999999999994,55.8,63.071388124885914,712.3,368.5,22.59,930.16
11319,activate_star,439530,681,789,89389649,-,0,2145,434370,qm,1,07TS,qm_log_game_1,1,holiday_home,11,0.0,91.63,769.8,815.3,16.96,33.72,25.34,15.9,22.6,19.25,22.6,27.632770400377883,772.45,810.5,7.3,989.2
11350,activate_star,7795,1057,363,89523543,-,0,2243,488760,qm,1,07TS,qm_log_game_2,5,blast,1,,,,,,,,,,,,,,,,
11363,activate_star,21385,851,400,89537143,-,0,2567,502350,qm,1,07TS,qm_log_game_2,3,holiday_home,2,,,,,,,,,,,,,,,,
11381,activate_star,45729,684,538,89561463,-,0,2814,526694,qm,1,07TS,qm_log_game_2,2,holiday_home,3,0.0,44.94,718.3,508.0,39.68,54.07,46.875,28.9,31.2,30.049999999999997,31.2,42.52822592114559,738.7,504.2,22.83,991.58
11402,activate_star,79073,640,798,89594823,-,0,2958,560038,qm,1,07TS,qm_log_game_2,1,holiday_home,4,0.6006006006006006,63.2,695.8,823.6,63.69,2172.59,1118.14,38.9,695.1,367.0,695.1,696.1876327542741,688.6,796.0,32.55,
11420,activate_star,103408,1017,756,89619150,-,0,3114,584373,qm,1,07TS,qm_log_game_2,4,holiday_home,5,0.0,38.25,1052.7,756.55,183.03,170.32,176.675,42.3,53.3,47.8,53.3,68.04542600351621,1052.35,758.1,11.56,1119.06
11443,activate_star,138301,1296,708,89654063,-,0,3210,619266,qm,1,07TS,qm_log_game_2,7,holiday_home,6,0.0,13.58,1299.4,706.9,148.76,72.82,110.78999999999999,53.1,33.4,43.25,53.1,62.730933358272296,1290.2,713.9,18.7,1031.93
11460,activate_star,161662,1322,314,89677423,-,0,3391,642627,qm,1,07TS,qm_log_game_2,8,blast,7,0.0,27.05,1325.9,340.8,3.55,157.47,80.51,9.4,41.3,25.349999999999998,41.3,42.35622740518801,1320.8,345.4,8.32,865.27
11473,activate_star,175499,1348,917,89691262,-,0,3731,656464,qm,1,07TS,qm_log_game_2,9,holiday_home,8,0.0,17.47,1362.2,921.75,38.8,79.94,59.37,24.8,37.0,30.9,37.0,44.542563913632094,1363.6,933.65,14.54,957.51
11490,activate_star,198860,590,186,89714622,-,0,3871,679825,qm,1,07TS,qm_log_game_2,0,blast,9,0.0,61.47,566.0,241.9,206.24,25.56,115.9,55.7,22.6,39.150000000000006,55.7,60.11031525453847,557.9,230.3,15.77,1166.57
11507,activate_star,216662,1121,161,89732422,-,0,3996,697627,qm,1,07TS,qm_log_game_2,6,holiday_home,10,0.0,40.01,1123.8,200.9,23.56,135.87,79.715,21.6,43.0,32.3,43.0,48.1202660009273,1113.9,199.15,13.36,979.9
11527,activate_star,5795,1017,505,90270108,-,0,0,2007,qm,2,07TS,qm_log_game_3,14,blast,1,,,,,,,,,,,,,,,,
11541,activate_star,20259,702,438,90284588,-,0,-24,16471,qm,2,07TS,qm_log_game_3,5,holiday_home,2,,,,,,,,,,,,,,,,
11560,activate_star,43859,1119,754,90308188,-,0,266,40071,qm,2,07TS,qm_log_game_3,15,blast,3,0.0,48.54,1165.3,754.4,119.03,345.97,232.5,53.2,88.7,70.95,88.7,103.43079812125593,1158.85,758.3,11.98,1711.28
11573,activate_star,57195,1279,874,90321508,-,0,446,53407,qm,2,07TS,qm_log_game_3,19,blast,4,0.0,29.54,1305.3,859.9,116.97,64.89,90.93,45.5,35.2,40.35,45.5,57.52642870889866,1333.5,843.9,34.62,1422.06
11587,activate_star,72344,989,910,90336668,-,0,644,68556,qm,2,07TS,qm_log_game_3,12,holiday_home,5,0.0,54.61,1042.8,898.9,129.14,59.07,94.10499999999999,47.7,32.7,40.2,47.7,57.832343891632135,1051.7,898.1,14.69,1451.04
11604,activate_star,95982,641,718,90360311,-,0,916,92194,qm,2,07TS,qm_log_game_3,2,holiday_home,6,0.0,26.31,664.65,720.4,383.97,166.07,275.02,91.9,46.0,68.95,91.9,102.76969397638587,673.6,696.8,32.62,1691.34
11622,activate_star,119330,877,680,90383628,-,0,1118,115542,qm,2,07TS,qm_log_game_3,8,blast,7,0.0,24.3,894.8,696.1,20.35,20.37,20.36,23.1,22.2,22.65,23.1,32.03825837963106,888.4,690.2,9.95,1605.01
