event_name,decision,subject,condition,res_timestamp,n_star,n_game,filename
outer_band_1,1,01TG,im,419205469,10,2,im_log_game_2
outer_band_2,1,01TG,im,419205469,10,2,im_log_game_2
outer_band_3,1,01TG,im,419205469,10,2,im_log_game_2
outer_band_4,0,01TG,im,419205469,10,2,im_log_game_2
inner_band_1,0,01TG,im,419213018,0,2,im_log_game_2
inner_band_2,1,01TG,im,419214050,0,2,im_log_game_2
inner_band_3,1,01TG,im,419215080,0,2,im_log_game_2
inner_band_4,1,01TG,im,419216032,0,2,im_log_game_2
inner_band_5,1,01TG,im,419217064,0,2,im_log_game_2
inner_band_6,1,01TG,im,419218113,0,2,im_log_game_2
inner_band_7,1,01TG,im,419219050,0,2,im_log_game_2
inner_band_8,1,01TG,im,419220084,0,2,im_log_game_2
outer_band_1,1,01TG,im,419221128,0,2,im_log_game_2
outer_band_2,1,01TG,im,419221128,0,2,im_log_game_2
outer_band_3,0,01TG,im,419221128,0,2,im_log_game_2
outer_band_4,0,01TG,im,419221128,0,2,im_log_game_2
inner_band_1,0,01TG,im,419227521,17,2,im_log_game_2
inner_band_2,1,01TG,im,419228491,17,2,im_log_game_2
inner_band_3,1,01TG,im,419229524,17,2,im_log_game_2
inner_band_4,1,01TG,im,419230493,17,2,im_log_game_2
inner_band_5,1,01TG,im,419231521,17,2,im_log_game_2
inner_band_6,1,01TG,im,419232495,17,2,im_log_game_2
inner_band_7,0,01TG,im,419233527,17,2,im_log_game_2
inner_band_8,0,01TG,im,419234468,17,2,im_log_game_2
outer_band_1,0,01TG,im,419235503,17,2,im_log_game_2
outer_band_2,0,01TG,im,419235503,17,2,im_log_game_2
outer_band_3,0,01TG,im,419235503,17,2,im_log_game_2
outer_band_4,0,01TG,im,419235503,17,2,im_log_game_2
inner_band_1,0,01TG,im,419241208,5,2,im_log_game_2
inner_band_2,1,01TG,im,419242243,5,2,im_log_game_2
inner_band_3,1,01TG,im,419243212,5,2,im_log_game_2
inner_band_4,1,01TG,im,419244232,5,2,im_log_game_2
inner_band_5,1,01TG,im,419245185,5,2,im_log_game_2
inner_band_6,1,01TG,im,419246219,5,2,im_log_game_2
inner_band_7,1,01TG,im,419247250,5,2,im_log_game_2
inner_band_8,1,01TG,im,419248202,5,2,im_log_game_2
outer_band_1,1,01TG,im,419249143,5,2,im_log_game_2
outer_band_2,1,01TG,im,419249143,5,2,im_log_game_2
outer_band_3,0,01TG,im,419249143,5,2,im_log_game_2
